,reviewer_id,product_id,reviewer_name,helpful_vote,total_votes,review_text,rating,summary,unix_review_time,review_time
231824,A1WPFIZ8P3O86V,B004PJ3ECS,"Phil in Magnolia ""Phil-i-am""",0,0,"I recently ordered replacement pads for ourEureka Enviro Hard-Surface Floor Steamer, model 313A. The pads that came with the steamer were completely worn out, and I had tried usingBakers & Chefs Bar Moptowels as a lower cost replacement (the bar mops can be folded over and are the right size when that is done), but the towels are a much thinner fabric and do not have the same reinforcement on the sides plus they cannot held tightly enough to stay stretched and fit properly. As a result they fold over when used with the steamer and in my experience were not suitable. (I tried them because one of the top reviews to the 313A floor steamer suggested it).There are two choices that I found on Amazon for replacement pads, and I ordered both:-Genuine Eureka Deluxe Magic Cloth for Eureka Enviro Steamer 313A (Set of 2 Cloths)(product on this page) - two pads for $14.25 plus tax, with prime shipping included and sold by Amazon (that is what I paid in March 2014, but the pricing can vary on Amazon). These come in a clear plastic package with no product identification whatsoever. The Amazon product page states that they are produced by Eureka; I received them packaged in a box with only a very small barcode tag indicating Eureka, and the tags on the cloths indicate only the content of the pads and do not state Eureka.-Eureka Enviro 60978 Pads 2pk- two pads for $9.99 plus tax, with prime shipping included, sold by Amazon. These come in a simple plastic package with only a small cardboard label, very similar to what is shown on the Amazon product page, indicating that they are produced by Crucial Vacuum.All of the pads that I received - two of each as indicated above - were identical to what came with the Eureka steamer when I purchased it, and they fit fine and work the same.The pads from Crucial Vacuum (see second link above) were about 30% less expensive than the 'Eureka' pads, and since they are identical, I think that they are the clear choice and better value.",3.0,These are the OEM pads and work well; you can also get the Crucial Vacuum replacement pads and save up to 30%,1396569600,"04 4, 2014"
181409,A1PRBLV3FQGZG1,B002YD7VGC,Jessica,0,0,Wouldn't use anything else on my sensitive feminine area. This smells good and I know it's pH balance won't cause any infection because it actually contains a probiotic!,5.0,This smells good and I know it's pH balance won't cause any ...,1404086400,"06 30, 2014"
169574,A5IRH1LSLM34L,B002LYTHSY,"jatnj ""Janet""",0,0,"I have a recently diagnosed diabetic cat who needs insulin injections 2x a day.  Instead of using a sharps container, my township allows clipped needles to be thrown out in the regular trash, so this little clipper has been helpful for me in not having to find out how to dispose of a sharps container.",5.0,Needle Clipper,1400284800,"05 17, 2014"
225659,A1ODOGXEYECQQ8,B004H44GB4,Nuknuk,21,25,"It runs on four 'AA' batteries (included in the box are 4 Toshiba alkaline batteries ).  According to spec, four alkaline batteries can last up to 300 uses when used 6 times a day.  It also include an AC adapter the size of a cellphone adapter.  It is rated 100V to 240V so you can travel and use it out of the country if you want where voltage is  220V.  It includes also a nylon case for storage.I remember my sister who is a nurse, used to carry a blood pressure monitor with liquid glass tube that contain toxic metal mercury.  It was heavy and needs a stethoscope to hear your pulse.  I tried it and it was so difficult and complicated.  With this kind of monitor, anybody can use it, thus you don't have to be a doctor or a nurse.  All you need to know is what is the normal blood pressure for you (which a doctor can help you determine), then you can compare it with your readings from home.  You just put the batteries, plug the cuff, wrap it around your arm, press the On button, and wait.  After less than a minute, it will give you your systolic and diastolic readings.  The digital readings are large and easy for challenged eyes. It will even give you your pulse rate and alert you for irregular heartbeat.TruRead mode - will automatically perform 3 consecutive readings and give you the average for more accurate result.If you are currently monitoring your blood pressure, it has an internal memory to store 100 readings.  It can do that for 2 individual persons.  A guest mode is available so other people can use the monitor without affecting the stored memory for people that are doing constant monitoring.Also if you are monitoring, the first thing you should do is to adjust the time and date.  The button on the bottom left will do that, it cycles to year, month, date, hour, seconds for easy setup.The arm cuff is pre-formed into a circle.  It can adjust to small to bigger arms and can be secured in a wrap with a Velcro.Made in China.Make sure to read the included manual to determine the best time to take your blood pressure.  Do not move and make sure you relax your arm when taking a reading.  Rest for at least 15 minutes before taking a reading.  Make sure the arm is not constricted with a tight fitting sleeve or clothes.  Avoid eating, drinking alcohol, exercising, smoking and bathing 30 minutes before taking your measurement.",4.0,"So simple, so easy to use.",1300838400,"03 23, 2011"
98681,A15704NM28NN96,B0013ND4CO,Cat_Pack,1,1,"Ok, when you first open these try not to smell them, they smell awful. I've noticed this with every bottle, but most vitamins smell horrible anyways. They seem to be helping a lot with my treatment thus far. I have Pre-type 2 Diabetes (Insulin Resistance) and these have helped me from going over the edge and getting Type 2. My sugar is balancing out and my energy levels have increased since taking this medication. Now these pills are very big, so if you have trouble swallowing you may need to look elsewhere. Otherwise  I've been taking these for over a year and will continue to do so to manage my pre-diabetes and get a good rush of energy.",5.0,Diabeetus,1356307200,"12 24, 2012"
283788,AJOO1482KCO6B,B008A6N49U,Jerry Hobgood,0,0,"this item is a good product but nothing seems to set apart from so many other insoles. I have sensitive feet that need real orthotics, I cannot call this insole an orthotic, not much in the way of arch support at all. If you just need a new insole this one might work okay but not as a serious orthotic.",3.0,"this is more like an insole than an ""orthotic""",1386115200,"12 4, 2013"
77410,A2Q7DE6NA7VKAJ,B000QRCLO0,Daniel M. Hart,0,0,"I used to use these brushes, but for some reason, the supermarkets stopped carrying them. This brush has a plastic scrubber, except that it has more open spaces, like a sponge.  I had to trim it a bit into more of an arrow shape, to make it narrower to fit in the places other toilet brushes can't reach, like the incoming flush water opening. It is good for cleaning under the rim of the toilet, but does nothing to clean the accumulation (brown algae, etc.) in the scratches left behind by the wire core brushes the supermarkets carried.  Even using blue tank tablets and scouring powder does not clean the scratches.  They look terrible, and I may have to buy a new toilet. If anyone has a solution to this problem, please leave a comment. In the meantime, I gave this brush four stars as just another all plastic toilet brush that does not scratch the porcelain toilet bowl.",4.0,Not Quite As Good As I Remember It Being.,1377907200,"08 31, 2013"
192052,A3V4OD9WI97PEX,B0038QQ7RI,Jujusmommie,0,0,"I bought this product because it is alcohol FREE and having a KetoKid is one of the ONLY approved hand sanitizers for him. Does not have any smell at all, cleans well. I truly love it and recommend it. May not mask other smells well since it does not have any itself but overall I love it. The pump is also a plus my son loves to use it and it dries fast.",5.0,Wonderful Product!,1390089600,"01 19, 2014"
298498,AK9FTWLCW09RR,B00A0J0A8I,Techie Evan,0,0,"I've used both the Hydrate and Sensitive versions of Dove Men+Care Post Shave Balm and for my skin, I really didn't feel any difference between the two products.Both have the same kind of container that opens at the bottom, and you need to squirt to get the lotion out through a tiny hole.  If you squirt too hard, you could get a big splatter of lotion in your hand -- not so good because of the potential waste.Other than that minor complaint, I have to say that I do like the lotions.  When applied immediately after a shave, the lotions get to work very quickly, providing instant relief to any lingering post-shave irritations without any greasy after-feeling.  The product description for the Sensitive version specifically mentions that the product has no alcohol, but I only feel comfort when applying either of the product on my face, so in my case, both products work just fine.Both products have a nice mild scent that dissipates quickly.",4.0,Instant relief,1364342400,"03 27, 2013"
77352,A2E6IE08AXP6JD,B000QR931O,sharon,0,0,It extends far longer than needed.  The angles are great. So easy to extend & change angles.  Far better than expected.,5.0,I have time to read a book,1358899200,"01 23, 2013"
94333,APHJ2Y833O6DW,B001185XUC,F. Lentz,0,0,"Have been using this product for about 6 months. Pleasant tasting, easy to carry in handbag/tote. Add entire packet to a 16oz bottled water, shake and drink.  Provides immediate relief  for tight/cramping in legs and hands.",5.0,Easy Supplement,1380585600,"10 1, 2013"
129085,A3RPCWNDTO6NCQ,B001F0RDUY,"Isabel Lebron ""&#34;LeBrun&#34;""",0,0,"They Just fit PERFECT in the Simply Human Trash Can (4.5 liters), so you don't see them, you don't smell anything.... I really prefer use those ones than ""any other bags"", Pretty Good Price, I have for a long time with 4 packages..... Very pleased  :)I'll buy them again.",5.0,Perfect Fit  -  Perfectly Clean,1350345600,"10 16, 2012"
221649,A7LSZK67TPT0H,B004BD71JK,Bon Vivant,0,0,"It worked fine for an hour, then it started to peel off and never could put it back, and the suede got fuzzy.Pads doesn't have good pads.And not so grippy either.I wouldn't purchase again.",1.0,I don't recommend this,1402876800,"06 16, 2014"
18813,A12DQZKRKTNF5E,B00024CUMK,Andrea Polk,169,189,"After using Rainbow Light's Women's 'One' vitamin supplement for over a year, I'm sold on it.  I've tried many other brands of vitamins designed specifically for women, but no others have been so easy to digest (with or without food) and so complete.  Yes, they are BIG pills, but you only take one a day and can break it in half if you need to do so.  Loaded with good stuff that includes a vegetable juice complex, women's nourishing blend and complete digestive support (probiotics), in addition to a well-balance multivitamin.NOTE: This women's multivitamin is tough to beat as it's only taken once a day and maximizes many of the recommended daily values, however most women will want/need to supplement with additional calcium as that is the one area where based upon the daily recommended values, it is lacking.**Other Rainbow Light Multivitamins are offered on this Amazon page, but this review is only for Rainbow Light Women's One.**Included in this multivitamin are the following: (taken directly from the product packaging)Vitamin A, 5000 IU - 100% recommended daily valueVitamin C, 120mg - 200%Vitamin D, 800IU - 200%Vitamin E, 100IU - 333%Vitamin K, 100mcg - 125% **not found in all multivitamins.Vitamin B-1, 25mg - 1667%Riboflavin (B-2), 25mg - 1471%Niacin, 25mg - 125%Vitamin B-6, 25mg - 1250%Folic Acid, 800mcg - 200%Vitamin B-12, 25mcg - 417%Biotin, 150mcg  - 50%Vitamin B-5, 25mg - 250%Calcium, 200mg - 20% **additional supplement needed.Iron, 6mg - 33%Magnesium, 100mg - 25%Zinc, 10mg - 25%Selenium, 200mcg - 286%Copper, 1mg - 50%Manganese, 2mg - 100%Chromium, 200mcg - 167%Molybdenum, 75mcg - 100%Choline, 20mgInsitol, 20mgBoron, 1mgCitrus Bioflavonoid Complex, 25mgWomen's Nourishing Blend: 125mg which includes Dong Quai root extract, Organic Spirulina, Red Clover blossom extract.Vegetable Juice Complex: 10mg which includes Kale, Spinach, Dandelion Greens and BeetsComplete Digestive Support: includes Protease, Amylase, Lipase, Cllulase and Lactobacilus.Betaine HCL, 10mgGuaranteed 100% natural, this vitamin contains no dairy/lactose, sugar, wheat, yeast or gluten.In conclusion, this is one vitamin supplement that has made a positive difference in my life and I will continue to take it - recommending it to other women, especially those who are perimenopausal, have fibromyalgia, chronic fatigue syndrome or other energy zapping woes.UPDATE: July 25, 2011I did the unthinkable and tried another product for 3 months, but am now going back to Rainbow Light.  The other:GNC WOMEN's Ultra Mega 90 Capletsdid nothing for me in terms of energy or immune system boosting, and left me wondering why I'd paid good money for 'ultra mega'.  Must have liked the name... and had a moment of weakness in the GNC store looking for Rainbow Light!Currently I'm takingRainbow Light Women' s Nutritional System  Multivitamin Supplement  Food Based  Tablets  180 tablets, which has EVEN MORE of the good stuff in this vitamin with complete digestive support and 'balance and vitalizing blend'. 1200mg of Calcium...120% of your daily dose with this one means no calcium supplement needed. Higher in 'C' and some others too.I made the shift back to Rainbow Light and don't intend to ever make the mistake of leaving them again, but chose to give this one a shot because I'm in need of the 'hormone balancing' herbs.  Yes, I've hit perimenopause and according to the Rainbow Light website, this is the vitamin they recommend for me.The upside - no stomach upset with or without food and the pills are about half the size of this one.  The bad... the recommended serving per day is 6 tablets.  Yes, more expensive and inconvenient, but truthfully if the 'hormone balancing' works - I'd take darn near anything 6 times a day.  Right now I'm only on week 3 of taking them and not sure if they'll be better for me than 'one', but I'm optimistic.  I trust the brand and the thought that goes into each formulation.  If you're having similar issues go to the Rainbow Light website and take their questionare to see which formula is recommended for you.UDATE: 7/16/12 - A few people have commented that this review contains product info that's not on their bottle of Rainbow Light.  Please note that Amazon has put a general 'Rainbow Light Multivitamins' heading on this product page, offering several vitamins from their line on one page.  THIS review is only for Rainbow Light Women's One - not all Rainbow Light multivitamins!",5.0,"Women's ONE - Well balanced, easy-to-digest nutritional support for women",1279065600,"07 14, 2010"
216193,AIXIZNCTOQHZW,B0043OUHJ8,KM,0,0,"I always used to run out of sponges as my family is quite hard on them.  Now I always have them in reserve.  Good price, great sponge.",4.0,You can never have too many sponges.,1383350400,"11 2, 2013"
249592,A3G09CPM1L1O9V,B005E1D9M6,DeltaKilo,0,0,"Had to modify it to accept the girth of the Merkur Futur. See picture.  Other than that, quality stand, nice weight.Another thing: the Futur is so heavy that If I take the brush off first, the stand has a tendency to tip if I touch it.  Not a huge deal.  I just take the razor off first.The brush I'm using is the Parker Safety Razor 100% Silvertip Badger Bristle Shaving Brush.",4.0,Nice stand,1361491200,"02 22, 2013"
214006,A3G1TAX0SM0KT0,B0041EB492,pencil,0,0,good for the price,4.0,I like it,1397952000,"04 20, 2014"
277221,A3L4DIB3CUWTII,B007V2L8SS,LoveBug,2,2,"This tea is a great mix of mild, peppery lemon and a hint of ginger. It's great with hot water, but if you want a creamy, lighter taste of lemon ginger, add milk to it. If you want your tea stronger, I suggest adding 2 teabags to hot water. The tea has a light, refreshing scent of lemon and ginger. (Doesn't smell like Lemon Pledge like another reviewer said.)Before I bought this, I read another reviewers opinion and she/he had stated that you can taste a peppery lemon snap in the back of your throat after each swallow. After I read this, (Since some citrus drinks can irritate my throat) I thought it might have a strong, citrus flavor that could burn my throat, as well as have a sour aftertaste. But that isn't the case at all. Just a hint of lemony ginger in the back of the throat after each swallow.This product is an add-on to an order of $25 or more. For a 20-count box for this price is a good deal. Especially, if your trying this tea for the first time. Lot's of other lemon ginger teas cost way more or only give you the option to buy in bulk.",5.0,Mild Peppery Lemon & Hint of Ginger,1386892800,"12 13, 2013"
40667,A1GCOURMTPXKWI,B000CCI4YU,V. Welton,0,0,"I've purchased various sleep masks, and this is by far the most comfy, doesn't interfere with breathing, and keeps the light out.  Does what it should!",5.0,Best one,1317254400,"09 29, 2011"
330021,A10R96Q3C85FEH,B00GAXIX0U,Barbee,2,2,"I bought the 60ct bottle of Bioganix Garcinia Cambogia a couple months ago and I achieved some weight loss. I decided that it was good enough to buy the bigger bottle, in hopes that I would continue to receive great results. I have pleasantly surprised to say that, the pounds keep melting away. I love the energy this product gives me and an all around feeling of good health. My husband and I have been taking it for almost 3 months and the results are nothing short of amazing. I have lost 9 lbs and my husband has lost 12 lbs. I would recommend this product to anyone who is struggling to lose those extra ponds that just won't seem to melt away. Don't skimp on the smaller bottle when you are definitely going to want the big bottle.",5.0,Good Investment,1397779200,"04 18, 2014"
209701,A10Y058K7B96C6,B003WJ9GTC,midnight821,0,2,"Charmin is among the best bath tissue that you can buy for good reason: quality.  The Ultra Soft variety is no exception with plenty of softness that also absorbs very well.  It would be difficult to review this product based on price or value.  Yes, you can get cheaper brands, but you get what you pay for.  Do you use less with the Ultra Soft Mega Rolls?  Yes, to some extent this is true.  You will use less sheets, but of course, this is considerably thicker.  You cannot beat the quality or softness.  The mega rolls are rather large and while they do fit on most paper hangers, it is a tight squeeze (no pun intended) for others.  The item arrives in Frustration-Free Packaging so it will arrive in its original packing with the Charmin name written across it.  There are no extra boxes or extra packing fluff.  It's simple and straight to the point.",5.0,You get what you pay for,1288137600,"10 27, 2010"
140020,A2S82LUEC27Q21,B001IHXFQK,Brian,8,12,"It's the only way I can orgasm anymore.  My wife has been placed on the back-burner.  She asked ""So, who is she?  Some $2 whore?""  I replied ""Why yes, yes she is.  And you know what?  She was better than you'll ever be and I don't even have to buy her dinner.""  (And free shipping too)",5.0,Replaces expensive products.  Makes you question life.,1365465600,"04 9, 2013"
176773,A3E7936VZQNYMZ,B002TEHR74,gordo,0,0,"sturdy steel handle, excellent quality for the price. Best garage broom I've bought. Libman makes good quality products. I'd buy again.",5.0,Great garage broom,1364688000,"03 31, 2013"
91883,A25I7R3TY9BTQF,B000ZL3OFW,SK,0,4,"I just bought some Vitamin C from Nutribiotic that said ""Does not contain Rose Hips"" This, after I had an allergic reaction to theNOW product C-1000. Obviously Rose hips is a cheap way of going. Im always going to look for the good Bioflavanoids from now on. Nutribiotic sells this, also without GMO! Does NOW brand say ""No GMO""? NO. Be careful.",2.0,"Rose Hips, Be careful.",1352073600,"11 5, 2012"
109106,A13UJGHHF2ZWDV,B00163D35Y,Kristina,0,1,"very fun and sexy, a little larger than I thought it was going to be but love the soft and flexible feel. Will certainly order another toy made from the same material.",4.0,very sexy,1351468800,"10 29, 2012"
104497,AF3EWORDT15AU,B0013UU9WK,John Grove,18,21,"I have had breathing issue my entire life starting with anxiety attacks (Because I couldn't breathe out of my nose) when I was young. Later discovered I had a deviated septum and a minor bent nose.I started my nose spray addiction because quite frankly, it worked for me. I could breathe again. Well, I came to the realization I was addicted to this, so I went to a ear, nose, throat specialist and decided to have something done about my deviated septum.Turns out the septosplasty didn't do all that much for me. Could be partly my fault. I had stints in my nose after the surgery that were suppose to be in for three days after the surgery. As soon as I came home from the surgery, I sneezed and one of them came out.Anyway, I came back from the surgery having breathing problems again and back to my favorite costco version of Afrin. Wanting to exercise my will against this addiction, I decided to go cold turkey and go for it. Well, as of writing this it has been 1 week off of nose spray which I can not tell you how long its been since I didn't use nose spray. This ""Simply Saline"" has helped me because whenever I started feeling my nose was getting swelled, I would spray it in. I am carrying this around me and using it quite a bit, but hey, it is better then staying addicted to Afrin right?Wish me luck, and this product has helped me, without it, I would probably be up a creek.",5.0,Helping me break my nose spray addiction,1270080000,"04 1, 2010"
135848,AIZ9IK9QBGFJI,B001G7QYGK,vince_vega,0,1,"works great, cleared up my acne rosacea, on nose and upper lip, still working on chin area.  I had a severe breakout on this area, possibly due to eating lots of fresh tomatoes .  Does not dry out my skin, just dries up the breakout.I do not notice much of an odor, not offensive to me at all.",5.0,Prosacea Rosacea gel,1390780800,"01 27, 2014"
204081,AOC9E0EFV3PPC,B003S4XC2I,Dale D.,0,0,"Purchsed this item as replacement for similar item by Remington. Have not had to unpack as yet, however Remington, for me, has the best construction and versatility of any trimmers available. I have a moustace and beard which I keep short and trim weekly. I need one appliance that will trim my beard, any stray eyebrow hairs and also trim my moustache above my upper lip. This one does it quite well. And, of course, at Amazon, the price was by far the best.",5.0,Replacement on Hand,1342483200,"07 17, 2012"
260764,A2MFRX1F6P0UEZ,B0069SQSQ2,DMBrown,0,0,It does not smell as good as the YL peppermint but is a lot cheaper and still smells nice.,3.0,Not bad,1405123200,"07 12, 2014"
221957,A13B4MJW5JSK7J,B004BJT9OE,Monica J. Hastings,0,0,"I have cold and asthma and have to use oxygen often. This device really helps me to know the status of my breathing. I also used it recently when my disabled son, who is low functioning,  got a cold when here for a visit. It helped me to know exactly when he needed to see a doctor.",5.0,great for maintaining health,1396051200,"03 29, 2014"
188030,A23WE733QT4WGJ,B0036B7ZYE,"K. Ward ""Love to shop""",0,0,"Visine has always worked for me.  This particular Maximum relief not ony got the red out, but really helped to moisturize them.  They felt a lot better, especially after a loing day on a computer.  Very relieving.",5.0,Gets the red out and soothes,1288569600,"11 1, 2010"
306224,A2ACBKGKN0M09R,B00B71EKSY,Book-IT,0,0,"Ok, first the great... This product, as far as I can tell works as described. It is a favorite in our home. I like to use it on door knobs because my little ones just don't get that grabbing something with peanut butter or jelly on there hands isn't really a great idea. I seem to always be the one that finds the gross sticky spots left behind by my kiddos.Ok, now the bad... The product is great. As I said before it works as described. The bad is how it was packaged and apparent abuse of transport. I have this on a Subscribe and Save. This was the first time I'd ordered it from Amazon. When we got it it was a mess. The containers had leaked all over the place and the blue on the plastic packaging seemed to have been eaten off by the liquid. Every time you would touch it to clean it up your hands would turn blue form the ink coming off. The packaging on one of the individual containers also had been, for lack of a better word, eaten off. It was a big mess. We even got an email to review the packaging on this delivery. Of course I gave my opinion that it sucked. and included a picture. I never heard back.I didn't complain to much and didn't send it back. The wipes inside are still as useful as if it hadn't leaked. I will give it another shot when it comes time with my Subscribe and Save. If it gets to me again in this condition I will cancel it. I won't put up with that.",5.0,Great product!,1380499200,"09 30, 2013"
165867,AFICF7DKHTQ87,B002GU6DMQ,tabby,0,0,These are tiny laxative tablets. Took these a while back when I had constipation after a huge buffet the day before... Took them in the evening and was effective within 3-4 hours.,3.0,Tiny tablets that works,1401062400,"05 26, 2014"
232104,A1PB2DSZYNYMI4,B004PXJYRI,"John Richards ""John""",0,2,These glasses seemed sturdy but I returned them because they did not look good on me.  I'd prefer either frameless or a more masculine black plastic frame.,3.0,Not very stylish but serves the purpose,1363392000,"03 16, 2013"
199839,A2CH6NV0F7AIO1,B003KFFGVA,Phil,0,0,"Again, this is another product that I purchased for a friend who was interested in doing a body cleanse and had read up on this product and wanted to give it a try! I'm told this product works effectively if you ever need to do a body cleanse!!! Go for it!",5.0,Does EXACTLY what it should do!,1378684800,"09 9, 2013"
103086,A62R496DI8W34,B0013OX9NC,"Lance M. Foster ""Solvitur ambulando""",1,1,"I'm still taking this supplement so I don't know the long term results, but my eyes seem a little less tired and sore, after being on the computer all day.",4.0,Eyes Less Sore,1378944000,"09 12, 2013"
114198,A3J9M4BSPYNUDL,B0019LRINQ,Rose Jenkins,1,2,"I was a little scared to use this, but pleasantly surprised with the amount of pleasure it gave. Depending on which side used and type of pleasure you're wanting, it will meet expectations. And the cleaning is easy! I've recommended to friends, who love it as well. The glass is quality and I never fear it breaking or chipping.",5.0,Bent Graduate Glass Want,1353888000,"11 26, 2012"
19901,A1PU9GCX6AB40D,B00028LX1U,Lynnster,1,1,"I've reviewed this previously so won't rehash all my reasons for using this form of Vit C. To sum it up, ascorbic acid is the purest form of Vit C one can take. No added excipients. I take this to saturation (bowel tolerance) and suggest anyone interested to learn how to properly dose Vit C do a little googling and learn how to do this. Each of us has a difference tolerance, or dosage requirement for this important vitamin so it's worth learning how to dose it to get results. If you are trying to avoid a cold that you've been exposed to, you need to know how much to take. if you don't take enough, you'll still get sick. Simple as that. Google or get one of the great Vit C books out there&#8230;.I put it in a bit of warm water & then fill to the top with cool water & it dissolves immediately.",5.0,Repeat purchase,1392681600,"02 18, 2014"
322684,A1MN3C8JBK9PI3,B00E7H96BQ,yussri m mahrous,1,1,i really fell it as an increase in energy level when iam working out. i recommend it for both physical and mental performance.,4.0,it is pure and effective,1395705600,"03 25, 2014"
83061,A3BSTFFIKK5YTW,B000UPTQFU,"BOATS99 ""BOATS99""",0,0,Good stuff work for me ! Helps to apply and then do my walk less pain smells fine would buy again !,4.0,I like it !,1392076800,"02 11, 2014"
169379,AKT5ADLAFEG6B,B002LLQ3WK,N. Bolser,0,0,"I used this for a couple years and have no issues with quality or durability.  I just don't understand why shaving brushes have such short handles.  Maybe my shaving mug is too deep or my hands too big.  I ultimately bought just the shaving knots and made my own (long) handles.  But, this brush is a good place to start.  And I can see or feel no difference between the synthetic bristles or the natural bristles other than price.",4.0,A nice brush,1402963200,"06 17, 2014"
335020,A2HTPS0JV3Q8ZD,B00HHRK2I4,"Michael D. Briggs ""Dark_Psion""",0,0,"I have tried it in my bathrooms, moping the floor and in the worst place imaginable, the shower. Personally I have never understood how the one place in my house that has more soap & water sprayed on it than any other can be the dirtiest place as well.I do like the way the bottle allows you to control how much you mix with water, no accidental *Glug* of too much. Also for a cleaner, it doesn't &#34;feel&#34; like I need to clean myself after using it or that I need to wear a haz-mat suit to use it. It did a magnificent job cleaning, no residue making my shower feel sticky or slippery afterwards.The scent is noticeable but not as overwhelming as some products, scent does not clean no matter how Orangey it smells. Price is good (before shipping & handling) and there are a variety of scents to choose from.",5.0,And excellent cleaner,1403136000,"06 19, 2014"
